"Religion, in any form, is always interesting to me because of how powerful it is. Not even the religion itself, but to the people that follow it... The effect that it has had on people's minds.",Chino Moreno,Religion
"God does not discriminate against people, regardless of color, religion, social class, or gender and sexual preferences.",Rodrigo Duterte,Religion
"Leave the matter of religion to the family altar, the church, and the private school, supported entirely by private contributions. Keep the church and state forever separate.",Ulysses S. Grant,Religion
"All these walls that keep us from loving each other as one family or one race - racism, religion, where we grew up, whatever, class, socioeconomic - what makes us be so selfish and prideful, what keeps us from wanting to help the next man, what makes us be so focused on a personal legacy as opposed to the entire legacy of a race.",Kanye West,Religion
Religion is just mind control.,George Carlin,Religion
"Surely the day will come when color means nothing more than the skin tone, when religion is seen uniquely as a way to speak one's soul, when birth places have the weight of a throw of the dice and all men are born free, when understanding breeds love and brotherhood.",Josephine Baker,Religion
"Religion is something left over from the infancy of our intelligence, it will fade away as we adopt reason and science as our guidelines.",Bertrand Russell,Religion
"I don't think that people accept the fact that life doesn't make sense. I think it makes people terribly uncomfortable. It seems like religion and myth were invented against that, trying to make sense out of it.",David Lynch,Religion
The world is divided into men who have wit and no religion and men who have religion and no wit.,Avicenna,Religion
"I'm in favour of religion as a tamer of arrogance. For a Greek Orthodox, the idea of God as creator outside the human is not God in God's terms. My God isn't the God of George Bush.",Nassim Nicholas Taleb,Religion
"There is one thing higher than Royalty: and that is religion, which causes us to leave the world, and seek God.",Elizabeth I,Religion
"I am an Anglo-Catholic in religion, a classicist in literature and a royalist in politics.",T. S. Eliot,Religion
"It is a truism that almost any sect, cult, or religion will legislate its creed into law if it acquires the political power to do so.",Robert A. Heinlein,Religion
"Where knowledge ends, religion begins.",Benjamin Disraeli,Religion
Religion without humanity is very poor human stuff.,Sojourner Truth,Religion
"Beauty has no boundaries, no rules, no colors. Beauty is like a religion. You can include everything inside it.",Alessandro Michele,Religion
"Wherever men and women are persecuted because of their race, religion, or political views, that place must - at that moment - become the center of the universe.",Elie Wiesel,Religion
"India has 2,000,000 gods and worships them all. In religion, all other countries are paupers; India is the only millionaire.",Mark Twain,Religion
"Fashion is almost like a religion, for me at least.",ASAP Rocky,Religion
"We have enough religion to make us hate, but not enough to make us love one another.",Jonathan Swift,Religion
The first canon of my religion is that you shouldn't try to convince anybody to believe like you do.,Leon Russell,Religion
Religion is the recognition of all our duties as divine commands.,Immanuel Kant,Religion
What brings you closer to God is being in service to others. I think any religion or spiritual way of life will indicate that service to others will lead to a connection with a higher power.,Steve-O,Religion
"He who possesses art and science has religion; he who does not possess them, needs religion.",Johann Wolfgang von Goethe,Religion
Religion is like a personal computer. You let people in if you want to... We're all gods.,Jay-Z,Religion
"The main object of religion is not to get a man into heaven, but to get heaven into him.",Thomas Hardy,Religion
Religion is for people who are scared to go to hell. Spirituality is for people who have already been there.,Bonnie Raitt,Religion
When I have a terrible need of - shall I say the word - religion. Then I go out and paint the stars.,Vincent Van Gogh,Religion
"I think I'm a humanist. I believe all humans should have equal rights to live, express, flourish, love and dissent, irrespective of their gender, caste, class, socio-economic strata, disabilities, political stance, religion or faith.",Sayani Gupta,Religion
Religion is the search for ultimate meaning.,Viktor E. Frankl,Religion
